Name
Microsoft.3dbuilder
Microsoft3DViewer
Microsoft.Print3D
Microsoft.MSPaint
Microsoft.Microsoft3DViewer
Microsoft.Print3D
Microsoft.Appconnector
microsoft.windowscommunicationsapps
king.com.CandyCrushSodaSaga
Microsoft.WindowsFeedbackHub
Microsoft.GetHelp
Microsoft.Getstarted
Microsoft.ZuneMusic
Microsoft.WindowsMaps
Microsoft.Messaging
Microsoft.BingNews
Microsoft.MicrosoftSolitaireCollection
Microsoft.WindowsStore
Microsoft.MixedReality.Portal
Microsoft.OneConnect
Microsoft.MicrosoftOfficeHub
Microsoft.ZuneVideo
Microsoft.People
CommsPhone
windowsphone
AutodeskSketchBook
bingsports
Office.Sway
Microsoft.Getstarted
Microsoft.BingWeather
Microsoft.YourPhone
Microsoft.SkypeApp
Microsoft.StorePurchaseApp
XINGAG.XING
Microsoft.Wallet
Microsoft.XboxGameOverlay
Microsoft.XboxApp
Microsoft.XboxApp_48.62.6002.0_x64__8wekyb3d8bbwe
Microsoft.XboxIdentityProvider
XboxOneSmartGlass
Microsoft.XboxSpeechToTextOverlay
Microsoft.Xbox.TCUI
DellInc.DellSupportAssistforPCs
DellInc.DellDigitalDelivery
7EE7776C.LinkedInforWindows
DellInc.DellDigitalDelivery
DellInc.DellCustomerConnect
ScreenovateTechnologies.DellMobileConnect
DellInc.DellPowerManager
DellInc.MyDell
officehub
skypeapp
onenote
xboxapp
king.com.BubbleWitch3Saga
king.com.CandyCrushFriends
Microsoft.LanguageExperiencePackfr-FR
DellInc.PartnerPromo                       
DellInc.DellCommandUpdate
"Dell Mobile Connect Drivers"
"Dell SupportAssist"
"Dell Digital Delivery Services"
"Dell Power Manager Service"
"Dell SupportAssist Remediation"
"Dell Update for Windows 10"
"Dell Update - SupportAssist Update Plugin"
